,model_name,train_mae,test_mae,train_mse,test_mse,train_rmse,test_rmse,coef,best_params
0,LinearRegression,4147.617600682906,4192.606418313681,37984398.814380884,38414125.94082925,6163.148449808822,6197.913031079836,"[-1.50108480e+04 -3.29302449e+03  4.36610538e+02  8.29305816e+03
  3.66672118e+03 -3.29302449e+03 -1.19481557e+03  4.31554804e+03
 -1.01055390e+03 -7.30247104e+02 -4.31509287e+02  1.40375063e+02
  1.64367859e+02  1.31460314e+02  2.07212756e+02  1.21823595e+02
 -7.27808138e+01  7.80038426e+01 -2.43053619e+02 -2.42506700e+02
 -4.65141744e+02 -3.86487157e+01 -2.36848568e+02 -3.08642344e+02
  4.22724523e+01  2.42343963e+01  3.96420380e+02 -2.61294599e+02
  2.63867722e+01  1.80895139e+01  2.70918478e+02 -3.62098345e+02
  1.11052449e+01  4.46441826e+02 -4.17591974e+01  2.11441462e+00
  2.95041648e+02 -8.78426774e+01 -7.65711177e+00 -1.07485263e+02
 -5.33198094e+02  9.96791146e+01  5.08005333e+02 -4.22291743e+00
  2.97740432e+02  5.68461021e+01 -5.37170430e+01  4.71576647e+02
  6.70664439e+02 -2.12426434e+02  5.01546318e+01  3.74049814e+02
  6.82721046e+01 -2.81243160e+02 -1.48701290e+03 -1.01531592e+02
  2.61643604e+02  1.42506548e+03 -1.33162358e+02  1.41374425e+03
 -1.72094366e+02 -7.39882262e+02 -2.66801630e+02 -3.43482627e+02
 -2.58390932e+02  2.44463559e+02  9.07492649e+01  6.74264297e+02
 -7.21835200e+02  5.53371626e+01 -1.71469362e+02  1.47716623e+02
 -9.69341214e-01 -7.68893662e+01 -5.25432237e+02  5.25885141e+01
  4.71723519e+02  3.25126651e+02 -2.86761295e+02 -1.93832269e+02
  1.38265805e+02  2.32745767e+02  9.47403790e+02 -8.75058774e+02
  9.95315993e+02 -2.63697737e+01 -1.91530218e+02  2.24196470e+01
 -4.77678502e+01  2.43035229e+01  6.03295568e+01  5.05323305e+01
 -6.41301627e+01  6.83143666e+01  5.53717376e+01  1.52815235e+01
 -2.48618181e+01 -1.59356415e+01  1.27806214e+02  2.29516456e+02
  1.08751685e+02  9.43291125e+01  5.30602831e+01  1.83843816e+02
  1.91092058e+02 -1.35704690e+02 -1.37501848e+01  3.58810141e+01
 -1.69756437e+02  5.84837487e+01  7.83277913e+01  5.30912751e+01
  1.27059902e+02 -1.37459689e+02  1.97337099e+01  8.97711331e+01
  3.87655464e+01  3.17178674e+01 -1.58911880e+02 -1.89975989e+01
 -1.12604193e+02 -2.04022145e+02 -7.16050014e+01  7.36635656e+01
 -1.85526698e+01  2.05180148e+02  3.38515757e+01  1.96461440e+01
  7.85682961e+01 -1.39728159e+02 -1.12722525e+02  8.93350356e+01
  1.03918779e+02 -1.68724777e+02 -1.62640973e+02  8.00745836e+01
 -2.48660730e+02 -7.70830375e+01 -8.39036646e+01  9.42549300e+01
  7.18173349e+01  9.50170212e+01  4.43354767e+01  1.19053981e+02
  2.92299075e+00 -8.27186530e+01  2.79620380e+02 -1.12971743e+02
  5.70549560e+01  2.00999343e+01]",{'preprocessor__poly__degree': 2}
1,LinearRegressionNoPaint,4150.583160101053,4193.664271585142,38023673.533388406,38450158.582962446,6166.333881115132,6200.819186443227,"[-1.50260423e+04 -3.31642617e+03  4.58526656e+02  8.32214489e+03
  3.68461658e+03 -3.31642617e+03 -1.19145069e+03  4.32997289e+03
 -1.02183543e+03 -7.30737971e+02 -4.30561775e+02  1.38221635e+02
  1.62141809e+02  1.30799684e+02  2.03436939e+02  1.17447575e+02
 -7.03336208e+01  7.96124446e+01 -2.40584662e+02 -2.44000594e+02
 -4.63824530e+02 -3.91560898e+01 -2.34605301e+02 -3.05117722e+02
  4.33816890e+01  2.42157738e+01  3.92279843e+02 -2.63506973e+02
  2.43780401e+01  1.77615295e+01  2.78829091e+02 -3.58152429e+02
  1.02754551e+01  4.44478313e+02 -4.06015766e+01 -1.10056791e+00
  2.92305437e+02 -8.85730517e+01 -4.47096289e+00 -1.06727507e+02
 -5.35562155e+02  1.00200100e+02  5.06474824e+02 -3.06299588e+00
  2.98131461e+02  5.74751204e+01 -5.67496253e+01  4.71030316e+02
  6.69546331e+02 -2.14400474e+02  4.90924756e+01  3.74094838e+02
  6.83347447e+01 -2.81607481e+02 -1.48872425e+03 -1.01882883e+02
  2.60727393e+02  1.42787059e+03 -1.31009621e+02  1.41283055e+03
 -1.73775880e+02 -7.39200224e+02 -2.67325268e+02 -3.42601021e+02
 -2.60564472e+02  2.46191979e+02  9.20036938e+01  6.73178262e+02
 -7.23505337e+02  5.91086758e+01 -1.70694934e+02  1.47867239e+02
 -2.25461290e+00 -7.51513650e+01 -5.22355514e+02  5.18401053e+01
  4.78639182e+02  3.34549814e+02 -2.85754081e+02 -1.98633941e+02
  1.40079976e+02  2.34216104e+02  9.43928426e+02 -8.78263443e+02
  9.91083834e+02 -2.96258273e+01 -1.88482074e+02  2.29784439e+02
  1.08600721e+02  9.34363334e+01  5.31107942e+01  1.80144226e+02
  1.93021022e+02 -1.36218725e+02 -1.22409296e+01  3.51742187e+01
 -1.68556270e+02  5.91990021e+01  7.73863909e+01  5.24387277e+01
  1.26793866e+02 -1.37400118e+02  2.03329094e+01  8.98843764e+01
  3.87247537e+01  3.15511833e+01 -1.59974796e+02 -1.81624571e+01
 -1.12579603e+02 -2.03578050e+02 -7.24502428e+01  7.40637613e+01
 -1.84767779e+01  2.04983664e+02  3.38941305e+01  2.10238232e+01
  7.80459538e+01 -1.39417741e+02 -1.13891946e+02  9.03333009e+01
  1.05080959e+02 -1.69038084e+02 -1.62895440e+02  8.03915022e+01
 -2.48825599e+02 -7.67158244e+01 -8.41272156e+01  9.41408699e+01
  7.16865031e+01  9.62935218e+01  4.57277646e+01  1.19624981e+02
  2.79054074e+00 -8.32633056e+01  2.80897655e+02 -1.12978257e+02
  5.64850378e+01  2.00852898e+01]",{'preprocessor__poly__degree': 2}
2,Ridge,4096.242046276232,4140.079255114104,37080647.81780555,37469295.34877671,6089.388131643897,6121.216819291464,"[-1.16946977e+04 -2.97640638e+03 -8.23073394e+02  1.68529477e+03
  2.67669010e+02 -2.97640638e+03  1.73250795e+03  4.68566214e+03
  4.27192826e+03  4.62296335e+03  1.64935534e+03  2.67669010e+02
  6.80895640e+02  1.73250795e+03  4.68566214e+03 -3.41052595e+03
 -4.22658905e+03 -3.68880496e+03 -4.21349971e+03 -1.01636749e+03
 -1.66381171e+03  1.64935534e+03  3.15462290e+02  6.80895640e+02
  1.73250795e+03 -2.23905473e+03 -3.41052595e+03 -4.22658905e+03
 -3.68880496e+03  3.30981899e+03  2.88324246e+03  2.69593683e+03
  2.63592213e+03  8.25201973e+02 -7.54253515e+02 -3.72439812e+02
  1.42753444e+02  1.60310956e+02  1.34380893e+02  1.95079902e+02
  1.05147719e+02 -9.24766003e+01  6.30584061e+01 -2.40429307e+02
 -2.48529306e+02 -4.61310968e+02 -3.53942716e+01 -2.42205889e+02
 -3.01837073e+02  5.61826781e+01  1.76994408e+01  4.08847112e+02
 -2.59117064e+02  2.27686787e+01  7.79555245e+00  2.53377055e+02
 -3.58255781e+02  9.96515069e+00  4.39569366e+02 -5.19587378e+01
 -4.10087087e-01  2.80438585e+02 -9.46239494e+01 -1.75013884e+01
 -1.11156618e+02 -5.27596258e+02  9.58257886e+01  4.94182562e+02
  9.92559918e+00  2.85459546e+02  5.13439183e+01 -4.70523405e+01
  4.75272939e+02  6.94768850e+02 -2.21170452e+02  4.80877732e+01
  3.65808343e+02  3.64514320e+01 -2.82626690e+02 -1.48057820e+03
 -9.55047179e+01  2.58518287e+02  1.42370555e+03 -1.42031179e+02
  1.43344848e+03 -1.84607648e+02 -7.51218226e+02 -2.66884626e+02
 -3.46020169e+02 -2.43281089e+02  2.51084192e+02  5.41249155e+01
  6.92650601e+02 -7.20930104e+02  2.87871745e+01 -1.82614623e+02
  1.65070350e+02 -9.97690849e+00 -7.99593217e+01 -5.06789934e+02
  5.43936263e+01  4.26409198e+02  2.91744344e+02 -3.00877630e+02
 -1.79849334e+02  1.32260125e+02  2.23072858e+02  9.66039708e+02
 -8.84095954e+02  1.00494489e+03 -1.27103104e+01 -1.93647194e+02
  2.41888091e+01 -5.09407901e+01  2.45034682e+01  5.56764830e+01
  5.34354861e+01 -6.18440184e+01  6.33157962e+01  4.66368977e+01
  6.13082116e+00 -2.60631034e+01 -6.80709767e+00  1.21821391e+02
  2.20067639e+02  1.18502345e+02  1.04169465e+02  4.93014389e+01
  1.86754112e+02  1.95698112e+02 -1.38450791e+02 -1.59524147e+01
  2.89792394e+01 -1.69213081e+02  7.13143140e+01  5.31686336e+01
  5.56223151e+01  1.21079220e+02 -1.45071857e+02  2.30348780e+01
  1.04807917e+02  4.22468739e+01  3.55908458e+01 -1.66335775e+02
 -1.76641039e+01 -1.13518439e+02 -1.97937472e+02 -6.13174598e+01
  8.18736164e+01 -6.95533811e+00  2.03120995e+02  4.01496300e+01
  2.27262025e+01  7.97936948e+01 -1.41161516e+02 -1.21883000e+02
  7.39293578e+01  9.60448372e+01 -1.92119887e+02 -1.58552588e+02
  9.27218240e+01 -2.52171715e+02 -9.06285026e+01 -8.78921771e+01
  1.03678227e+02  7.46538118e+01  1.14482796e+02  5.36851651e+01
  1.14932188e+02  5.49176721e+00 -8.80070704e+01  2.72989213e+02
 -1.23645430e+02  5.89939024e+01  2.62464334e+01]","{'Ridge__alpha': 100, 'preprocessor__poly__degree': 4}"
3,RidgeNoPaint,4098.927785766348,4141.564531533099,37116623.84908021,37505021.40391744,6092.341409432027,6124.1343391468345,"[-1.16666595e+04 -2.98282595e+03 -8.16048425e+02  1.64505973e+03
  2.59211908e+02 -2.98282595e+03  1.74304601e+03  4.68154484e+03
  4.28746034e+03  4.60899892e+03  1.65076555e+03  2.59211908e+02
  6.90681743e+02  1.74304601e+03  4.68154484e+03 -3.41456373e+03
 -4.23466739e+03 -3.69838946e+03 -4.21549952e+03 -9.76194344e+02
 -1.65463238e+03  1.65076555e+03  3.03371035e+02  6.90681743e+02
  1.74304601e+03 -2.24840868e+03 -3.41456373e+03 -4.23466739e+03
 -3.69838946e+03  3.31290086e+03  2.88682029e+03  2.70411414e+03
  2.64737036e+03  8.16260091e+02 -7.55120351e+02 -3.71384043e+02
  1.41180164e+02  1.58048681e+02  1.33966894e+02  1.91513335e+02
  1.01102668e+02 -9.00346224e+01  6.48571491e+01 -2.38162791e+02
 -2.50088926e+02 -4.60603702e+02 -3.56944018e+01 -2.39989716e+02
 -2.98382171e+02  5.73846843e+01  1.77186612e+01  4.04741767e+02
 -2.61673194e+02  2.11034935e+01  7.56099028e+00  2.61102216e+02
 -3.54368999e+02  9.17699741e+00  4.38007364e+02 -5.06134931e+01
 -3.72068222e+00  2.78088275e+02 -9.53577641e+01 -1.43245384e+01
 -1.10661022e+02 -5.29868563e+02  9.63909788e+01  4.92808076e+02
  1.05207108e+01  2.86164013e+02  5.19558058e+01 -5.01923127e+01
  4.74665454e+02  6.93783833e+02 -2.22946319e+02  4.71863674e+01
  3.66284321e+02  3.65139707e+01 -2.83137784e+02 -1.48275477e+03
 -9.57539278e+01  2.57517193e+02  1.42706664e+03 -1.39877994e+02
  1.43307019e+03 -1.86325176e+02 -7.50808473e+02 -2.67433168e+02
 -3.45345807e+02 -2.45181158e+02  2.52764794e+02  5.49674998e+01
  6.91507565e+02 -7.22961913e+02  3.31300746e+01 -1.82185453e+02
  1.65533578e+02 -1.12570921e+01 -7.84566006e+01 -5.03886133e+02
  5.38892237e+01  4.32742200e+02  2.99838574e+02 -3.00482739e+02
 -1.84413898e+02  1.33718941e+02  2.24249811e+02  9.63132904e+02
 -8.87517614e+02  1.00156663e+03 -1.45210664e+01 -1.90693111e+02
  2.20301107e+02  1.18356799e+02  1.03350037e+02  4.94117483e+01
  1.83761484e+02  1.97429051e+02 -1.39009844e+02 -1.46066634e+01
  2.81730371e+01 -1.67979384e+02  7.19131766e+01  5.23374030e+01
  5.49338154e+01  1.20694751e+02 -1.45074845e+02  2.34972366e+01
  1.04928548e+02  4.21448201e+01  3.55175069e+01 -1.67529942e+02
 -1.69204231e+01 -1.13607185e+02 -1.97600918e+02 -6.23002536e+01
  8.22475572e+01 -6.83767387e+00  2.02891157e+02  4.01532562e+01
  2.39483472e+01  7.92416967e+01 -1.41043977e+02 -1.22871731e+02
  7.49568589e+01  9.72467018e+01 -1.92586651e+02 -1.58860500e+02
  9.32037840e+01 -2.52173664e+02 -9.03634047e+01 -8.81727593e+01
  1.03637670e+02  7.45479250e+01  1.15753517e+02  5.50719727e+01
  1.15638373e+02  5.30680809e+00 -8.86691064e+01  2.74264178e+02
 -1.23822279e+02  5.85262732e+01  2.62818867e+01]","{'RidgeNoPaint__alpha': 100, 'preprocessor__poly__degree': 4}"
4,Lasso,4094.9227392946514,4139.330706032317,37067304.46324562,37466941.96161766,6088.292409472924,6121.024584301035,"[-1.45857585e+04 -3.87589805e+03 -7.35353703e+02  7.98053656e+03
 -6.71547962e+01 -1.47220856e+03  2.55307375e+03  5.40390642e+03
  3.60816794e+03  1.07217921e+03 -7.62559331e+03 -0.00000000e+00
 -5.65182092e-01 -0.00000000e+00  1.65579333e+03 -1.09739358e+04
 -4.21640907e+03 -3.13133992e+03 -3.47536526e+03 -7.98209394e+02
 -9.01810151e+02  9.87961326e+03  1.22005285e+03  4.24328181e+03
  3.79471143e+03 -7.50058440e+03 -7.56956923e+02 -2.00515126e+03
 -4.13314822e+02  1.04429324e+04  2.39949134e+02  9.18785877e+02
  2.19231840e+03  2.19481797e+01 -7.51176748e+02 -3.64070957e+02
  1.37179933e+02  1.56029575e+02  1.33556963e+02  1.91418649e+02
  1.02592760e+02 -9.78193979e+01  5.77134008e+01 -2.55653544e+02
 -2.52858075e+02 -4.67269016e+02 -3.50326573e+01 -2.39347488e+02
 -3.16350545e+02  4.83746235e+01  1.51316549e+01  3.99222713e+02
 -2.63750973e+02  1.86312684e+01  3.03872200e+00  2.44342512e+02
 -3.62931440e+02  8.44644212e+00  4.35275776e+02 -5.48999572e+01
 -1.99594567e+00  2.77655121e+02 -9.92123715e+01 -1.65113019e+01
 -1.14804146e+02 -5.37588357e+02  8.77009137e+01  4.91585778e+02
  0.00000000e+00  2.84123747e+02  4.47932636e+01 -5.39052911e+01
  4.70695435e+02  6.82024039e+02 -2.25759030e+02  4.22231274e+01
  3.27806828e+02  2.88663487e+01 -3.10954879e+02 -1.74444841e+03
 -1.41873165e+02  0.00000000e+00  1.19641219e+03 -1.73745982e+02
  1.94055124e+03 -6.99733350e+01 -8.14311530e+01 -0.00000000e+00
  2.63086666e+01 -3.43119084e+02  1.66360714e+02  0.00000000e+00
  6.55180057e+02 -7.56169234e+02 -0.00000000e+00 -1.71895896e+02
  1.76912766e+02  0.00000000e+00 -7.31312712e+01 -2.38498435e+02
  6.93139620e+01  4.94172026e+02  4.04420023e+02 -1.79900571e+02
 -8.69722339e+01  1.57968034e+02  3.12794257e+02  1.13802436e+03
 -6.09239611e+02  1.18703152e+03  7.30066499e+01 -9.17220630e+01
  3.17840153e+01 -4.85320722e+01  2.62441763e+01  5.63926049e+01
  5.70289979e+01 -5.73984751e+01  6.30826791e+01  4.78610211e+01
  1.10393898e+01 -2.30561044e+01 -0.00000000e+00  1.19987750e+02
  1.97305790e+02  9.40481340e+01  8.21882233e+01  1.75614231e+01
  1.19200715e+02  1.56913829e+02 -1.61166375e+02 -3.50799351e+01
  1.56217652e+01 -2.23459439e+02  4.41452802e+01  3.40705415e+01
  2.19563766e+01  8.71458005e+01 -1.82462202e+02 -2.48922996e+00
  7.59811763e+01  1.93081704e+01  1.73069104e+01 -1.96026261e+02
 -3.93149175e+01 -1.31533654e+02 -2.38559620e+02 -9.35023202e+01
  5.84194605e+01 -1.85544214e+01  1.79223978e+02  2.73374495e+00
  1.41653752e+01  6.53565352e+01 -1.59850920e+02 -1.58800541e+02
  5.18309347e+01  7.47215593e+01 -2.35726306e+02 -2.00856216e+02
  6.35491205e+01 -2.92228705e+02 -1.27931090e+02 -1.03513915e+02
  7.88730634e+01  6.07667121e+01  7.79218100e+01 -0.00000000e+00
  1.02039731e+02 -2.38689384e+01 -1.05364801e+02  2.37474201e+02
 -1.59539569e+02  4.66220235e+01  1.67389882e+01]","{'Lasso__alpha': 1.0, 'preprocessor__poly__degree': 4}"
5,LassoNoPaint,4097.633863422973,4140.760160417572,37103247.41162842,37501655.46601769,6091.243502900571,6123.859523700531,"[-1.45299114e+04 -3.91878147e+03 -7.23773496e+02  7.88365107e+03
 -5.88374870e+01 -1.46374979e+03  2.56396082e+03  5.40488218e+03
  3.63405088e+03  1.08293452e+03 -7.64161963e+03 -0.00000000e+00
 -2.60612766e+00 -0.00000000e+00  1.64468014e+03 -1.10002652e+04
 -4.23330142e+03 -3.14307285e+03 -3.49484045e+03 -7.52781574e+02
 -9.02329167e+02  9.89750478e+03  1.21300647e+03  4.28644436e+03
  3.81228834e+03 -7.53623448e+03 -7.57532491e+02 -2.01214327e+03
 -4.13505394e+02  1.04756579e+04  2.35465366e+02  9.31492427e+02
  2.20632672e+03  1.78165276e+01 -7.51938513e+02 -3.62805139e+02
  1.35278204e+02  1.53569012e+02  1.32916299e+02  1.87579514e+02
  9.80728044e+01 -9.58399981e+01  5.91414335e+01 -2.54555649e+02
 -2.54953954e+02 -4.67227900e+02 -3.55156158e+01 -2.37273593e+02
 -3.13997585e+02  4.91060396e+01  1.51317114e+01  3.94319857e+02
 -2.67059435e+02  1.65351267e+01  2.71862493e+00  2.51266820e+02
 -3.59632346e+02  7.59527775e+00  4.33199996e+02 -5.37416433e+01
 -5.64974114e+00  2.74784670e+02 -1.00203763e+02 -1.36799796e+01
 -1.14371299e+02 -5.40523572e+02  8.80656103e+01  4.90002997e+02
  0.00000000e+00  2.84569673e+02  4.53083058e+01 -5.77959436e+01
  4.70095962e+02  6.80093216e+02 -2.27970143e+02  4.10689877e+01
  3.28470970e+02  2.87836681e+01 -3.11226867e+02 -1.74569368e+03
 -1.41887158e+02  0.00000000e+00  1.20071808e+03 -1.71495861e+02
  1.94126731e+03 -7.16018108e+01 -7.97717891e+01 -0.00000000e+00
  2.76302440e+01 -3.46303530e+02  1.66683814e+02  0.00000000e+00
  6.48527337e+02 -7.63978908e+02 -0.00000000e+00 -1.70537311e+02
  1.78715650e+02  0.00000000e+00 -7.13216358e+01 -2.29511777e+02
  6.92087084e+01  5.01930462e+02  4.14964774e+02 -1.76738658e+02
 -8.95395332e+01  1.59999325e+02  3.15971910e+02  1.13937613e+03
 -6.06469169e+02  1.18799849e+03  7.32281914e+01 -8.65605940e+01
  1.96894567e+02  9.33253359e+01  8.09515090e+01  1.67509325e+01
  1.14444947e+02  1.57570976e+02 -1.62406425e+02 -3.42730894e+01
  1.45247549e+01 -2.23834999e+02  4.40868421e+01  3.27354843e+01
  2.03388550e+01  8.58911318e+01 -1.83543575e+02 -2.72431823e+00
  7.54131894e+01  1.86026205e+01  1.67606639e+01 -1.98050943e+02
 -3.92322479e+01 -1.32199210e+02 -2.39329814e+02 -9.53183318e+01
  5.82093677e+01 -1.87869264e+01  1.78351892e+02  1.80014517e+00
  1.51236708e+01  6.44501440e+01 -1.60260171e+02 -1.60748224e+02
  5.23050342e+01  7.52867731e+01 -2.37387846e+02 -2.02393407e+02
  6.33184662e+01 -2.93281436e+02 -1.28730255e+02 -1.04226461e+02
  7.81902730e+01  6.03121716e+01  7.81811733e+01 -0.00000000e+00
  1.02411310e+02 -2.49579243e+01 -1.06622868e+02  2.37739865e+02
 -1.60834366e+02  4.58620912e+01  1.65611337e+01]","{'LassoNoPaint__alpha': 1.0, 'preprocessor__poly__degree': 4}"
6,RandomForest,4262.127259973448,4285.244020219287,40738091.58859274,40839139.218395434,6382.639860480359,6390.550775824838,,"{'RandomForest__max_depth': 5, 'RandomForest__n_estimators': 100, 'preprocessor__poly__degree': 2}"
7,RandomForestNoPaint,4261.157145136539,4283.878487087114,40865886.15428248,40941742.34384733,6392.643127399064,6398.573461627781,,"{'RandomForestNoPaint__max_depth': 5, 'RandomForestNoPaint__n_estimators': 100, 'preprocessor__poly__degree': 3}"
