,model_name,train_mae,test_mae,train_mse,test_mse,train_rmse,test_rmse,coef,best_params
0,LinearRegression,3848.0225468650206,3846.2145868633465,35227324.00587019,34864816.51109662,5935.261073101182,5904.643639636233,"[-1.06462360e+04 -3.16413747e+03  8.78212977e+02  5.92480389e+03
  1.02267147e+04  4.44565126e+03 -3.16413747e+03 -8.65661550e+03
 -1.60216756e+03  4.60172777e+03 -9.78257357e+02 -7.61454867e+02
 -5.91923109e+02  1.46251131e+03  9.94739401e+01  2.14249436e+02
  9.73959973e+01  1.93872941e+02  1.71748428e+02 -2.90359504e+01
  1.45414701e+02 -2.13447758e+02 -2.68969346e+02 -4.94293070e+02
 -2.74605622e+01 -1.71024928e+02 -1.74120664e+02  5.39583641e+01
  5.60010178e+01  2.28736085e+02 -2.09042963e+02  1.21672979e+01
  6.79307032e+01  2.85192025e+02 -2.79352494e+02  1.60164686e+01
  4.64181021e+02  1.87233405e+01 -2.56578999e+01  3.33741594e+02
 -6.18165251e+01 -1.77904734e+01 -1.10866368e+02 -4.97772592e+02
  7.21951908e+01  4.99521369e+02 -9.00335524e+01  3.16582761e+02
 -3.45288979e+01 -7.37450124e+01  4.16744513e+01  5.42874518e+02
 -2.08503362e+02  4.28234543e+01  1.48090772e+03 -2.05931194e+01
 -7.87018596e+02 -2.79223664e+02 -4.19114443e+02 -2.10719173e+02
  1.78800399e+02  1.04843121e+02  6.45261698e+02 -7.32102518e+02
  1.09430249e+02 -1.93200184e+02  1.29322849e+02  4.01323984e+01
 -9.25791549e+01 -3.78645748e+02  6.95908702e+00  4.69444608e+02
  2.67942761e+02 -2.64656310e+02 -1.16744936e+02  1.28324384e+02
  2.46144530e+02  7.91989123e+02 -8.26547858e+02  8.48778021e+02
 -4.54049051e+01 -1.88614518e+02  3.50093167e+01 -1.76249378e+01
  8.67223251e+00  7.14219173e+01  2.65112703e+00 -5.23218781e+01
  5.77340188e+01  4.48610848e+01  6.87814796e+01 -5.79917487e+01
 -4.46659556e+01  1.38559204e+02  2.31806521e+02  1.04122369e+02
  7.89648911e+01  7.64187834e+01  2.11822833e+02  1.97935863e+02
 -1.27562811e+02 -2.94333755e+01  4.60115667e+01 -1.73742940e+02
  4.08605553e+01  7.97067739e+01  7.01051462e+01  1.31611461e+02
 -1.57572029e+02  1.51452709e+01  8.43883533e+01  4.73883415e+01
  2.36851242e+01 -1.53826120e+02 -3.33315071e+01 -1.31638181e+02
 -1.87661800e+02 -5.95925498e+01  7.25777602e+01 -1.83005538e+01
  1.76183181e+02  3.10279858e+01  9.71438552e+00  7.69965310e+01
 -1.40152062e+02 -1.16840430e+02  1.07536361e+02  1.44574044e+02
 -1.69708987e+02 -1.44338200e+02  5.81976733e+01 -2.33993660e+02
 -8.44054709e+01 -9.70331662e+01  9.06746235e+01  6.33979471e+01
  9.07295025e+01  2.26358102e+01  1.01317764e+02 -7.41128267e+00
 -5.36829962e+01  2.43015309e+02 -1.03685112e+02  5.61285728e+01
  2.73906202e+01  3.39787437e+02  1.48283334e+02 -7.44073861e+01
 -8.89392856e+01 -2.78574371e+02 -2.97411957e+02  1.89966319e+02
 -3.99729131e+02 -1.53787316e+02  1.32525294e+02  4.95309705e+01
 -7.36081879e+01]",{'preprocessor__poly__degree': 2}
1,LinearRegressionNoPaint,3849.9697581365403,3846.8415839221316,35272828.45279748,34901927.219049506,5939.093234896845,5907.785305768102,"[-1.06648655e+04 -3.17771326e+03  8.86401531e+02  5.92039287e+03
  1.02307597e+04  4.46322310e+03 -3.17771326e+03 -8.62597199e+03
 -1.60193796e+03  4.61782069e+03 -9.94456789e+02 -7.70035163e+02
 -5.83541875e+02  1.45507325e+03  9.66268551e+01  2.13181978e+02
  9.65253189e+01  1.90381531e+02  1.66190198e+02 -2.88288781e+01
  1.47297349e+02 -2.10085963e+02 -2.69207088e+02 -4.90139387e+02
 -2.83408221e+01 -1.69720063e+02 -1.70725398e+02  5.59274966e+01
  5.64802614e+01  2.25639174e+02 -2.09193340e+02  1.04084995e+01
  6.70462506e+01  2.92336672e+02 -2.77771601e+02  1.55103517e+01
  4.60823994e+02  1.89605486e+01 -2.66834415e+01  3.29898079e+02
 -6.25291302e+01 -1.38230046e+01 -1.09905561e+02 -5.00176750e+02
  7.41160055e+01  4.98022708e+02 -8.71282408e+01  3.16283377e+02
 -3.32818973e+01 -7.87764570e+01  4.13347115e+01  5.39256776e+02
 -2.10415917e+02  4.13527544e+01  1.47810303e+03 -2.20365598e+01
 -7.85288133e+02 -2.80065111e+02 -4.17528928e+02 -2.13951926e+02
  1.81950834e+02  1.05838037e+02  6.45660600e+02 -7.34583327e+02
  1.12265502e+02 -1.90355579e+02  1.27944126e+02  3.86273513e+01
 -9.00147599e+01 -3.76451564e+02  5.23915549e+00  4.79637323e+02
  2.81174230e+02 -2.61939915e+02 -1.22465978e+02  1.31394192e+02
  2.48299682e+02  7.87092347e+02 -8.27948304e+02  8.42685018e+02
 -5.31591963e+01 -1.86690097e+02  2.32148597e+02  1.03347321e+02
  7.77692888e+01  7.60636969e+01  2.05521294e+02  2.00602693e+02
 -1.27288309e+02 -2.70470717e+01  4.61589270e+01 -1.72558815e+02
  4.14557931e+01  7.77428636e+01  7.00456368e+01  1.31501696e+02
 -1.57049492e+02  1.57667208e+01  8.49535479e+01  4.78826322e+01
  2.35667577e+01 -1.54193370e+02 -3.22560791e+01 -1.30930237e+02
 -1.86893533e+02 -5.95445837e+01  7.32721124e+01 -1.86723025e+01
  1.75459542e+02  3.12972054e+01  1.18169075e+01  7.74008391e+01
 -1.39622600e+02 -1.18009150e+02  1.07940568e+02  1.45340773e+02
 -1.69123467e+02 -1.44409710e+02  5.75873801e+01 -2.34945778e+02
 -8.42447049e+01 -9.74587407e+01  9.03801233e+01  6.30121443e+01
  9.20658145e+01  2.44430081e+01  1.00941205e+02 -8.03526171e+00
 -5.38326134e+01  2.43462996e+02 -1.02164826e+02  5.51254725e+01
  2.69846340e+01  3.39802160e+02  1.47270386e+02 -7.38850579e+01
 -8.84023508e+01 -2.78330546e+02 -2.97336428e+02  1.89257075e+02
 -3.99545006e+02 -1.53399321e+02  1.33047110e+02  4.93358049e+01
 -7.34841292e+01]",{'preprocessor__poly__degree': 2}
2,Ridge,3692.470430850158,3693.945805252231,33066617.817897055,32907125.7902831,5750.358059973053,5736.473288553089,"[-3.78870050e+03  6.64779721e+02 -5.00475559e+03  5.57747334e+03
 -1.07794698e+03  8.00085026e+02  6.64779721e+02 -1.17312381e+04
 -1.32977374e+03  3.22950719e+03 -2.07540162e+03  1.28448197e+04
  1.73719760e+03  4.26167997e+03  5.37981339e+03  9.56414327e+02
  8.00085026e+02 -2.84700163e+03 -1.72537194e+03 -1.32977374e+03
  1.63973201e+03  3.22950719e+03 -2.07540162e+03 -4.49396759e+03
 -2.84373667e+02 -2.79867308e+03  1.06989955e+03 -6.48659293e+03
  1.82671278e+03 -4.15948394e+03 -5.87256571e+03  1.78480707e+03
  2.53883604e+03  2.59631214e+03  2.60149368e+03 -1.82290305e+03
  9.56414327e+02  9.48036794e+03 -2.85395410e+02 -1.72537194e+03
  5.17441329e+03 -1.32977374e+03  1.63973201e+03 -5.52728922e+03
 -3.34303992e+02 -2.84373667e+02  5.99511249e+02 -2.79867308e+03
  1.06989955e+03 -1.47088653e+03 -6.48659293e+03  1.82671278e+03
 -4.15948394e+03  6.14531025e+03  4.09058353e+03  4.91238182e+03
 -2.20664465e+03  3.08144034e+03 -2.44397175e+03  2.22519389e+03
  8.74936195e+02 -4.44815548e+03  2.95887840e+03 -2.12537466e+03
  1.17074213e+03 -4.53486948e+03 -2.53621114e+03  1.08921384e+03
 -8.30719751e+02 -6.87080886e+03 -3.00699356e+03 -1.82290305e+03
  5.61062021e+03  3.62025286e+03 -2.85395410e+02 -8.40946404e+02
 -1.72537194e+03  5.17441329e+03 -7.45993887e+02 -4.46830844e+02
 -3.34303992e+02  6.11663805e+02 -2.84373667e+02  5.99511249e+02
  1.44271249e+03 -2.79867308e+03  1.06989955e+03 -1.47088653e+03
 -1.03600960e+04  1.91214919e+03  4.09058353e+03 -3.80838074e+03
  4.91238182e+03 -2.20664465e+03 -5.04747137e+02  3.08144034e+03
 -2.44397175e+03  2.22519389e+03 -3.59655704e+03  8.74936195e+02
 -4.44815548e+03  2.95887840e+03 -2.12537466e+03  1.41732802e+04
 -4.03292738e+03 -2.83772649e+03  1.69885689e+03 -2.55869984e+03
  4.96138118e+03 -6.88303153e+03 -2.22145399e+03  5.42336284e+03
 -2.22311430e+03  1.67065687e+03 -1.51112622e+02  3.61649196e+03
 -1.71628653e+02  4.22677622e+03  5.23807217e+03  2.62709855e+03
  2.45348527e+03 -1.06942082e+03 -4.55470225e+03 -3.97107963e+02
 -8.20946245e+03  8.51652381e+01  2.22553759e+02  1.17497196e+02
  1.82774263e+02  1.91165690e+02 -3.68634737e+01  1.27599459e+02
 -1.97513097e+02 -2.66424244e+02 -5.13257514e+02 -6.35658675e+01
 -1.63798692e+02 -1.60635083e+02  8.04986391e+01  4.22699731e+01
  2.02267199e+02 -1.91430822e+02  1.04539570e+01  3.87604160e+01
  2.60617543e+02 -2.61703981e+02  1.38472412e+01  4.70386841e+02
  6.33161033e+00 -3.22745790e+01  3.33232964e+02 -7.76821418e+01
 -2.59800293e+01 -1.08645406e+02 -4.80504495e+02  6.58271783e+01
  4.91091325e+02 -1.07533015e+02  3.07896419e+02 -4.22678197e+01
 -7.89079377e+01  8.01813393e+01  5.47598039e+02 -2.09793350e+02
  5.48034883e+01  1.53167397e+03 -2.45292373e+01 -8.12916381e+02
 -3.06539839e+02 -4.22388900e+02 -1.79086735e+02  1.86269341e+02
  3.74299950e+01  6.71227212e+02 -7.20716247e+02  5.80971821e+01
 -2.04563008e+02  1.51832593e+02  2.64658084e+01 -9.83493598e+01
 -3.34463872e+02  2.41534500e+01  4.02868739e+02  1.85950453e+02
 -3.00738406e+02 -7.48798889e+01  1.38068467e+02  2.39276876e+02
  7.99142126e+02 -8.34428908e+02  8.68301878e+02 -3.94450704e+01
 -1.91479861e+02  4.52470074e+01 -3.81461041e+01  1.39632612e+01
  6.33814375e+01  2.72973712e+01 -6.58233949e+01  4.99597245e+01
  4.68006467e+01  6.19746354e+01 -7.08508729e+01 -1.92341865e+01
  1.20744387e+02  2.07721369e+02  1.17622816e+02  8.71572120e+01
  6.98600595e+01  2.17492904e+02  2.05913715e+02 -1.33430241e+02
 -3.47672446e+01  3.43402854e+01 -1.55158866e+02  5.20906413e+01
  4.85873793e+01  7.79155521e+01  1.23122842e+02 -1.67655907e+02
  1.72204643e+01  1.00258840e+02  5.82182358e+01  2.61839645e+01
 -1.65777927e+02 -3.82265935e+01 -1.31615135e+02 -1.71942165e+02
 -4.22756969e+01  7.68883367e+01  7.98568809e-01  1.78391773e+02
  3.35830694e+01  2.20247534e+01  8.07207005e+01 -1.43624206e+02
 -1.31684501e+02  7.51257794e+01  1.36537864e+02 -1.93697587e+02
 -1.37021520e+02  7.74340910e+01 -2.45330858e+02 -1.02504512e+02
 -1.01466074e+02  1.00642622e+02  6.28706116e+01  1.23509984e+02
  2.86525064e+01  9.67547014e+01 -6.08283067e+00 -5.80919640e+01
  2.19472657e+02 -1.16809583e+02  6.19103996e+01  3.30183305e+01
  3.51804350e+02  1.48179703e+02 -6.18193668e+01 -8.07424003e+01
 -3.00961162e+02 -2.93193989e+02  1.81625783e+02 -3.59044494e+02
 -1.14231772e+02  6.85700727e+01  3.59674176e+01 -8.74368599e+01]","{'Ridge__alpha': 10, 'preprocessor__poly__degree': 5}"
3,RidgeNoPaint,3694.772439544427,3695.3363562632644,33109025.078833245,32940307.606064316,5754.044236781053,5739.364738894394,"[-3.74199700e+03  6.89194325e+02 -5.03303881e+03  5.53244407e+03
 -1.22729531e+03  7.47103372e+02  6.89194325e+02 -1.17120400e+04
 -1.32380446e+03  3.24310812e+03 -2.03578367e+03  1.28482527e+04
  1.76200285e+03  4.26510641e+03  5.39112950e+03  9.48430595e+02
  7.47103372e+02 -2.86862777e+03 -1.72476112e+03 -1.32380446e+03
  1.62931010e+03  3.24310812e+03 -2.03578367e+03 -4.46645550e+03
 -2.86993109e+02 -2.80553281e+03  1.07076473e+03 -6.49947691e+03
  1.82394796e+03 -4.16710254e+03 -5.88735973e+03  1.76921029e+03
  2.52771222e+03  2.63151511e+03  2.72992999e+03 -1.78978914e+03
  9.48430595e+02  9.51413987e+03 -2.84375827e+02 -1.72476112e+03
  5.18412267e+03 -1.32380446e+03  1.62931010e+03 -5.49301255e+03
 -3.34942543e+02 -2.86993109e+02  5.93341881e+02 -2.80553281e+03
  1.07076473e+03 -1.47422938e+03 -6.49947691e+03  1.82394796e+03
 -4.16710254e+03  6.16592555e+03  4.10629058e+03  4.93185727e+03
 -2.21815176e+03  3.09904649e+03 -2.46118661e+03  2.23605464e+03
  8.88584156e+02 -4.46922359e+03  2.96518339e+03 -2.15961231e+03
  1.18135836e+03 -4.54691247e+03 -2.54119062e+03  1.06189384e+03
 -8.08021971e+02 -6.88746087e+03 -3.03284183e+03 -1.78978914e+03
  5.56355858e+03  3.62807728e+03 -2.84375827e+02 -8.39606357e+02
 -1.72476112e+03  5.18412267e+03 -7.96264047e+02 -4.43757500e+02
 -3.34942543e+02  5.93366633e+02 -2.86993109e+02  5.93341881e+02
  1.45357062e+03 -2.80553281e+03  1.07076473e+03 -1.47422938e+03
 -1.03511594e+04  1.91981692e+03  4.10629058e+03 -3.82011429e+03
  4.93185727e+03 -2.21815176e+03 -5.11346110e+02  3.09904649e+03
 -2.46118661e+03  2.23605464e+03 -3.57890917e+03  8.88584156e+02
 -4.46922359e+03  2.96518339e+03 -2.15961231e+03  1.41550683e+04
 -4.05941412e+03 -2.85821010e+03  1.72998906e+03 -2.57924044e+03
  4.99711770e+03 -6.91505183e+03 -2.24135904e+03  5.45575511e+03
 -2.25744628e+03  1.69908791e+03 -1.63601174e+02  3.64211248e+03
 -2.00575638e+02  4.25732842e+03  5.24987411e+03  2.62449063e+03
  2.47333178e+03 -1.07651007e+03 -4.52729086e+03 -3.76242501e+02
 -8.24157538e+03  8.31371093e+01  2.20726297e+02  1.16615288e+02
  1.79170112e+02  1.85930437e+02 -3.59682681e+01  1.30423407e+02
 -1.94253729e+02 -2.67382277e+02 -5.10193063e+02 -6.42080316e+01
 -1.61913739e+02 -1.55651024e+02  8.31354151e+01  4.26839583e+01
  1.97720831e+02 -1.93058768e+02  8.66016279e+00  3.82618746e+01
  2.68565304e+02 -2.59310624e+02  1.31088162e+01  4.67291161e+02
  7.52401248e+00 -3.39460016e+01  3.29857554e+02 -7.84163996e+01
 -2.13818041e+01 -1.07616596e+02 -4.83150822e+02  6.78469022e+01
  4.89475286e+02 -1.05519638e+02  3.08322615e+02 -4.05783792e+01
 -8.50027118e+01  7.99561040e+01  5.43157883e+02 -2.11801937e+02
  5.35173287e+01  1.53036753e+03 -2.62665696e+01 -8.12076866e+02
 -3.07383049e+02 -4.21206445e+02 -1.81610958e+02  1.88751613e+02
  3.81732268e+01  6.71664284e+02 -7.24171999e+02  6.22101687e+01
 -2.02143059e+02  1.50945571e+02  2.49255120e+01 -9.63389866e+01
 -3.32469416e+02  2.28791560e+01  4.11117390e+02  1.96557930e+02
 -2.99121724e+02 -8.12444748e+01  1.40471553e+02  2.41317019e+02
  7.96293517e+02 -8.37356448e+02  8.64636527e+02 -4.38171581e+01
 -1.89580799e+02  2.07719236e+02  1.16891684e+02  8.64047355e+01
  6.97073711e+01  2.12159345e+02  2.07945581e+02 -1.33397719e+02
 -3.26908349e+01  3.44026452e+01 -1.53953380e+02  5.24788954e+01
  4.67553332e+01  7.76465206e+01  1.22971639e+02 -1.67432642e+02
  1.77359697e+01  1.01051818e+02  5.86685387e+01  2.61400089e+01
 -1.66292876e+02 -3.73007280e+01 -1.31035307e+02 -1.71146953e+02
 -4.23366582e+01  7.75034910e+01  4.81229479e-01  1.77608458e+02
  3.39151786e+01  2.38911589e+01  8.11228411e+01 -1.43316189e+02
 -1.32666209e+02  7.59217230e+01  1.37480489e+02 -1.93444496e+02
 -1.37486047e+02  7.75376323e+01 -2.45821870e+02 -1.02379988e+02
 -1.01893084e+02  1.00419214e+02  6.25448258e+01  1.24702625e+02
  3.04699902e+01  9.68065866e+01 -6.72701542e+00 -5.88178002e+01
  2.19823956e+02 -1.15571233e+02  6.09896329e+01  3.27546244e+01
  3.52073502e+02  1.46878179e+02 -6.12372294e+01 -8.02669319e+01
 -3.00957004e+02 -2.93069856e+02  1.81108230e+02 -3.58673203e+02
 -1.13738047e+02  6.84533062e+01  3.60096295e+01 -8.73062638e+01]","{'RidgeNoPaint__alpha': 10, 'preprocessor__poly__degree': 5}"
4,Lasso,3834.182395772474,3833.4995589513555,34834385.07748426,34574575.36164358,5902.066170205503,5880.014911685478,"[-9.33929150e+03  8.84966218e+02 -3.93743920e+02  4.46765731e+03
  2.42253858e+03  7.55936692e+02 -1.11829782e+03 -3.34194523e+03
  3.88501335e+02  9.19376099e+02 -1.26050212e+03  1.13026157e+03
 -1.20229208e+03  1.63151203e+03  5.20165736e+03  1.28119993e+03
 -3.57739384e+02 -1.85576857e+03 -1.22648848e+03  5.41944361e+02
  1.54503510e+02  7.04224318e+02 -1.78682351e+03 -1.69887750e+03
 -1.52244377e+03 -0.00000000e+00  1.73608683e+03 -1.27896538e+03
  1.49605025e+03 -6.18617324e+02 -1.56833589e+03  1.54519222e+03
 -8.87844109e+01  1.03450550e+03  1.01278094e+02  2.13201653e+02
  7.42723880e+01  1.80758355e+02  1.57165479e+02 -2.79784927e+01
  1.35910603e+02 -2.06982790e+02 -2.57831104e+02 -4.82952449e+02
 -3.29545059e+01 -1.68134433e+02 -1.65574685e+02  5.60442263e+01
  4.67440876e+01  2.21746108e+02 -2.10935556e+02  1.22278850e+01
  5.44363523e+01  2.72891145e+02 -2.82719339e+02  1.02224904e+01
  4.66271412e+02  9.37370034e+00 -2.37149933e+01  3.14702900e+02
 -5.98092639e+01 -3.26240046e+00 -1.10632167e+02 -4.93198081e+02
  7.94730731e+01  4.89760711e+02 -8.38441437e+01  3.02478063e+02
 -1.51733345e+01 -8.86405133e+01  2.66024277e+01  5.51061400e+02
 -2.06023981e+02  4.14352864e+01  2.08043114e+03  4.87945661e+01
 -3.83300672e+01  0.00000000e+00 -0.00000000e+00 -3.67496505e+02
  2.50906745e+01 -0.00000000e+00  9.21256540e+02 -5.09353038e+02
  2.72220135e+02 -2.12458654e+02  1.09288306e+02 -0.00000000e+00
 -9.22623055e+01 -3.17825280e+02  0.00000000e+00  4.63837100e+02
  2.55542616e+02 -2.55325702e+02 -8.07621029e+01  1.24501339e+02
  2.49864276e+02  8.41019079e+02 -7.98183201e+02  8.85586521e+02
 -4.70808810e+00 -1.73922519e+02  5.20989583e+01 -0.00000000e+00
  1.24939098e+01  7.42327903e+01 -0.00000000e+00 -2.58057934e+01
  5.50168462e+01  3.86874616e+01  7.15117776e+01 -2.40935264e+01
 -9.27986286e+00  1.32963516e+02  2.13563595e+02  8.66682925e+01
  6.33133703e+01  4.62355874e+01  1.60116862e+02  1.71400939e+02
 -1.48959942e+02 -4.05067639e+01  2.74774898e+01 -2.03908470e+02
  1.89777191e+01  5.88984669e+01  3.94842833e+01  1.00704167e+02
 -1.77114792e+02 -1.46631232e+00  6.24245328e+01  2.23116947e+01
  6.62109352e+00 -1.77466217e+02 -4.57228649e+01 -1.48611334e+02
 -2.14411141e+02 -7.55012901e+01  5.50833654e+01 -1.73081513e+01
  1.55130757e+02  0.00000000e+00  0.00000000e+00  6.65556378e+01
 -1.57030033e+02 -1.39768250e+02  8.41969262e+01  1.23144516e+02
 -2.11852662e+02 -1.74635093e+02  3.84782187e+01 -2.61798412e+02
 -1.16380958e+02 -1.09745566e+02  6.77274578e+01  4.82468617e+01
  6.75436878e+01  0.00000000e+00  8.60134137e+01 -3.01039833e+01
 -7.11414700e+01  2.09016238e+02 -1.30795580e+02  4.48147064e+01
  1.74770713e+01  7.07288097e+02  2.73362777e+02 -1.55128675e+01
 -4.82093927e+01 -0.00000000e+00 -8.75191280e+01  1.85041474e+02
 -3.77313376e+02 -1.25008021e+02  1.37555978e+02  5.34974731e+01
 -6.96766078e+01]","{'Lasso__alpha': 5, 'preprocessor__poly__degree': 3}"
5,LassoNoPaint,3835.997900822503,3834.288489758279,34867012.87669673,34600677.88869428,5904.829623003252,5882.234089926571,"[-9.36573123e+03  8.94557050e+02 -3.82775999e+02  4.48791588e+03
  2.41378421e+03  7.58734061e+02 -1.11997190e+03 -3.32521232e+03
  3.89715979e+02  9.29543923e+02 -1.28456133e+03  1.14499799e+03
 -1.21594588e+03  1.62757953e+03  5.19259884e+03  1.29775514e+03
 -3.49337941e+02 -1.82887594e+03 -1.24290730e+03  5.46150645e+02
  1.48180045e+02  7.17746768e+02 -1.80679930e+03 -1.68639534e+03
 -1.53933455e+03 -0.00000000e+00  1.74874414e+03 -1.29682463e+03
  1.50711239e+03 -6.21689023e+02 -1.59810055e+03  1.56433806e+03
 -7.94477899e+01  1.00775666e+03  9.94218385e+01  2.12366598e+02
  7.37587156e+01  1.78654737e+02  1.53152463e+02 -2.74363210e+01
  1.37953439e+02 -2.01958399e+02 -2.57161512e+02 -4.78951487e+02
 -3.36699071e+01 -1.67049995e+02 -1.60621566e+02  5.91135442e+01
  4.71292698e+01  2.21335648e+02 -2.10141662e+02  1.10295109e+01
  5.34086731e+01  2.79509202e+02 -2.80918040e+02  9.83058559e+00
  4.63965973e+02  9.81780730e+00 -2.37837844e+01  3.12107551e+02
 -6.03036872e+01 -0.00000000e+00 -1.09360328e+02 -4.93879777e+02
  8.17900957e+01  4.88722516e+02 -8.05080982e+01  3.02559806e+02
 -1.35130289e+01 -9.19802304e+01  2.65279992e+01  5.50125565e+02
 -2.06553405e+02  4.08122944e+01  2.07769352e+03  4.74442432e+01
 -3.79516780e+01  0.00000000e+00 -0.00000000e+00 -3.70315205e+02
  2.84303113e+01 -0.00000000e+00  9.17859770e+02 -5.14153259e+02
  2.72008894e+02 -2.08038485e+02  1.09788014e+02 -0.00000000e+00
 -8.94920760e+01 -3.09162247e+02  0.00000000e+00  4.75199738e+02
  2.70116254e+02 -2.49602984e+02 -8.36591326e+01  1.27980411e+02
  2.54224920e+02  8.41965660e+02 -7.91504891e+02  8.85917640e+02
 -8.61694816e+00 -1.69373804e+02  2.13214771e+02  8.54916979e+01
  6.17165267e+01  4.50663284e+01  1.53098682e+02  1.72833741e+02
 -1.49374417e+02 -3.90045015e+01  2.73019022e+01 -2.04192386e+02
  1.89434658e+01  5.66536763e+01  3.86956406e+01  9.96460123e+01
 -1.77607838e+02 -1.69267435e+00  6.22863073e+01  2.20519864e+01
  6.17192342e+00 -1.78736783e+02 -4.54149032e+01 -1.48633402e+02
 -2.15093080e+02 -7.63816738e+01  5.50675784e+01 -1.78421205e+01
  1.53786099e+02  0.00000000e+00  1.09193004e+00  6.64639281e+01
 -1.57301171e+02 -1.41667194e+02  8.38778374e+01  1.23302959e+02
 -2.12643835e+02 -1.75763409e+02  3.73226226e+01 -2.63785427e+02
 -1.17126533e+02 -1.10597496e+02  6.68815533e+01  4.75501840e+01
  6.79610376e+01  0.00000000e+00  8.54259761e+01 -3.14887716e+01
 -7.19395816e+01  2.08447436e+02 -1.30573024e+02  4.38213112e+01
  1.69737831e+01  7.07809115e+02  2.72549973e+02 -1.50294965e+01
 -4.75639692e+01 -0.00000000e+00 -8.73185770e+01  1.82118187e+02
 -3.77788069e+02 -1.26120145e+02  1.36131546e+02  5.27296964e+01
 -6.98481197e+01]","{'LassoNoPaint__alpha': 5, 'preprocessor__poly__degree': 3}"
6,RandomForest,4178.102485250622,4179.398531128465,39662547.68207102,39306077.82188123,6297.820867734412,6269.455943052892,,"{'RandomForest__max_depth': 5, 'RandomForest__n_estimators': 100, 'preprocessor__poly__degree': 2}"
7,RandomForestNoPaint,4164.634945744135,4163.051225107073,39595467.33323433,39170758.200630404,6292.492934698801,6258.654663794001,,"{'RandomForestNoPaint__max_depth': 5, 'RandomForestNoPaint__n_estimators': 100, 'preprocessor__poly__degree': 4}"
